telephone	phone	5.587001969004267
phone	phone	5.166158848044216
call	phone	4.381887539099655
voice	phone	4.2119625376573415
fed	phone	4.11885313326586
introduced	product	-3.9579624637849706
distance	phone	3.9124022557984337
dead	phone	3.9124022557984337
bell	phone	3.9124022557984337
car	product	-3.8755003035929976
service	phone	3.7355244937143546
personal	product	-3.6949280579511767
food	product	-3.6949280579511767
him	phone	3.671394156294639
came	phone	3.671394156294639
access	phone	3.671394156294639
brands	product	-3.595392384400262
telecommunications	phone	3.533890632544704
banks	phone	3.533890632544704
compaq	product	-3.48847718048375
cars	product	-3.48847718048375
sales	product	-3.4027473064578664
gab	phone	3.381887539099654
ps	product	-3.372999963063814
models	product	-3.372999963063814
machines	product	-3.2474690809799553
apple	product	-3.2474690809799553
toll	phone	3.2119625376573415
services	phone	3.2119625376573415
rochester	phone	3.2119625376573415
my	phone	3.2119625376573415
ll	phone	3.2119625376573415
free	phone	3.2119625376573415
callers	phone	3.2119625376573415
bellsouth	phone	3.2119625376573415
frozen	product	-3.1099655572300207
foods	product	-3.1099655572300207
auto	product	-3.1099655572300207
telesis	phone	3.0193174597149457
ring	phone	3.0193174597149457
phones	phone	3.0193174597149457
operator	phone	3.0193174597149457
megaquest	phone	3.0193174597149457
local	phone	3.0193174597149457
installed	phone	3.0193174597149457
foreign	phone	3.0193174597149457
dial	phone	3.0193174597149457
central	phone	3.0193174597149457
brokers	phone	3.0193174597149457
atlanta	phone	3.0193174597149457
markets	product	-2.9579624637849706
compatible	product	-2.9579624637849706
calls	phone	2.874927550379771
products	product	-2.858426790234056
you	phone	2.796925038378498
went	phone	2.7969250383784976
traders	phone	2.7969250383784976
she	phone	2.7969250383784976
sex	phone	2.7969250383784976
serves	phone	2.7969250383784976
send	phone	2.7969250383784976
party	phone	2.7969250383784976
meanwhile	phone	2.7969250383784976
investors	phone	2.7969250383784976
here	phone	2.7969250383784976
grew	phone	2.7969250383784976
calling	phone	2.7969250383784976
asked	phone	2.7969250383784976
apparel	product	-2.7880374623426585
